"sample_id","pond_id","doy","vial","lot_number","sample_type","run","start_time","end_time","vial_number","toc_ppb","ic_ppb","tc_ppb","run_date","mean_blank_toc_ppb","mean_blank_ic_ppb","mean_blank_tc_ppb","doc_ppb","dic_ppb","dc_ppb"
"E175","E",175,"18","E","Sample",2,2022-01-23 22:44:42,2022-01-23 23:12:52,"18",16000,203,16200,"Jan. 23",157.044444444444,95.5666666666667,252.666666666667,15842.9555555556,107.433333333333,15947.3333333333
"E176","E",176,"19","E","Sample",2,2022-01-23 23:13:06,2022-01-23 23:41:14,"19",20600,195,20800,"Jan. 23",157.044444444444,95.5666666666667,252.666666666667,20442.9555555556,99.4333333333333,20547.3333333333
"E177","E",177,"21","E","Sample",2,2022-01-24 00:09:51,2022-01-24 00:38:09,"21",21400,196,21600,"Jan. 23",157.044444444444,95.5666666666667,252.666666666667,21242.9555555556,100.433333333333,21347.3333333333
"E178","E",178,"22","E","Sample",2,2022-01-24 00:38:23,2022-01-24 01:06:31,"22",25300,200,25500,"Jan. 23",157.044444444444,95.5666666666667,252.666666666667,25142.9555555556,104.433333333333,25247.3333333333
"E181","E",181,"23","E","Sample",2,2022-01-24 01:06:45,2022-01-24 01:34:55,"23",22500,200,22700,"Jan. 23",157.044444444444,95.5666666666667,252.666666666667,22342.9555555556,104.433333333333,22447.3333333333
"E183","E",183,"24","E","Sample",2,2022-01-24 01:35:08,2022-01-24 02:03:17,"24",15400,209,15600,"Jan. 23",157.044444444444,95.5666666666667,252.666666666667,15242.9555555556,113.433333333333,15347.3333333333
"E185","E",185,"25","E","Sample",2,2022-01-24 02:03:30,2022-01-24 02:31:37,"25",16800,211,17000,"Jan. 23",157.044444444444,95.5666666666667,252.666666666667,16642.9555555556,115.433333333333,16747.3333333333
"E188","E",188,"26","E","Sample",2,2022-01-24 02:31:51,2022-01-24 02:59:58,"26",21000,196,21200,"Jan. 23",157.044444444444,95.5666666666667,252.666666666667,20842.9555555556,100.433333333333,20947.3333333333
"E190","E",190,"27","E","Sample",2,2022-01-24 03:00:11,2022-01-24 03:28:19,"27",25500,195,25700,"Jan. 23",157.044444444444,95.5666666666667,252.666666666667,25342.9555555556,99.4333333333333,25447.3333333333
"E192","E",192,"28","E","Sample",2,2022-01-24 03:28:33,2022-01-24 03:56:42,"28",26200,204,26400,"Jan. 23",157.044444444444,95.5666666666667,252.666666666667,26042.9555555556,108.433333333333,26147.3333333333
"E195","E",195,"29","E","Sample",2,2022-01-24 03:56:56,2022-01-24 04:25:06,"29",18700,194,18900,"Jan. 23",157.044444444444,95.5666666666667,252.666666666667,18542.9555555556,98.4333333333333,18647.3333333333
"E197","E",197,"30","E","Sample",2,2022-01-24 04:25:20,2022-01-24 04:53:27,"30",24500,194,24700,"Jan. 23",157.044444444444,95.5666666666667,252.666666666667,24342.9555555556,98.4333333333333,24447.3333333333
"E199","E",199,"31","E","Sample",2,2022-01-24 04:53:43,2022-01-24 05:21:55,"31",17200,196,17400,"Jan. 23",157.044444444444,95.5666666666667,252.666666666667,17042.9555555556,100.433333333333,17147.3333333333
"E202","E",202,"32","E","Sample",2,2022-01-24 05:22:10,2022-01-24 05:50:17,"32",22000,197,22200,"Jan. 23",157.044444444444,95.5666666666667,252.666666666667,21842.9555555556,101.433333333333,21947.3333333333
"E204","E",204,"34","E","Sample",2,2022-01-24 06:18:53,2022-01-24 06:47:11,"34",21600,196,21800,"Jan. 23",157.044444444444,95.5666666666667,252.666666666667,21442.9555555556,100.433333333333,21547.3333333333
"E206","E",206,"35","E","Sample",2,2022-01-24 06:47:24,2022-01-24 07:15:32,"35",16300,197,16500,"Jan. 23",157.044444444444,95.5666666666667,252.666666666667,16142.9555555556,101.433333333333,16247.3333333333
"E209","E",209,"36","E","Sample",2,2022-01-24 07:15:46,2022-01-24 07:43:53,"36",19100,195,19300,"Jan. 23",157.044444444444,95.5666666666667,252.666666666667,18942.9555555556,99.4333333333333,19047.3333333333
"E210","E",210,"37","E","Sample",2,2022-01-24 07:44:06,2022-01-24 08:12:14,"37",29700,194,29900,"Jan. 23",157.044444444444,95.5666666666667,252.666666666667,29542.9555555556,98.4333333333333,29647.3333333333
"E211","E",211,"38","E","Sample",2,2022-01-24 08:12:28,2022-01-24 08:40:39,"38",26000,194,26200,"Jan. 23",157.044444444444,95.5666666666667,252.666666666667,25842.9555555556,98.4333333333333,25947.3333333333
"E212","E",212,"39","E","Sample",2,2022-01-24 08:40:52,2022-01-24 09:09:02,"39",27100,195,27300,"Jan. 23",157.044444444444,95.5666666666667,252.666666666667,26942.9555555556,99.4333333333333,27047.3333333333
